sku,webshop_id
8016-10,37928529264792
8016-01W,37928529297560
8016-GREY,37928529330328
8016-23,37928529363096
8016-25,37928529395864
8016-27,37928529428632
8016-28,37928529461400
8016-29,37928529494168
8018-10,37928528576664
8018-01W,37928528609432
8018-GREY,37928528642200
8018-23,37928528674968
8018-25,37928528707736
8018-27,37928528740504
8018-28,37928528773272
8018-29,37928528806040
7459-3,37928601944216
969,38185209331864
675-10,37928504721560
675-01W,37928504754328
675-GREY,37928504787096
70906,37928614133912
71206,37928614166680
71406,37928614199448
625-10,37928611217560
625-01W,37928611250328
625-GREY,37928611283096
625-23,37928611315864
625-29,37928611348632
625-25,37928611381400
625-27,37928611414168
672-10,37928499249304
672-10,37928499282072
672-01W,37928499314840
672-01W,37928499347608
191-10,38185130229912
191-01W,38185130262680
170-10,37928586576024
170-01W,37928586608792
7635,37928533065880
7545,37928533295256
7615,37928533262488
7682,37928531624088
7525,37928533426328
7662,37928532770968
6344,38184252833944
7060-10,37928567275672
7060-01W,37928567308440
7060-GREY,37928567341208
7042-10,37928566980760
7042-01W,37928567013528
7042-GREY,37928567046296
193-10,37928503869592
193-01W,37928503902360
8019-10,37928528183448
8019-01W,37928528216216
8019-GREY,37928528248984
8019-23,37928528281752
8019-25,37928528314520
8019-27,37928528347288
8019-28,37928528380056
8019-29,37928528412824
7538,37928555937944
7518,37928555708568
965,37928505639064
6368,38185084518552
6371-10,37928495612056
6371-01W,37928495677592
6371-GREY,37928495743128
63631-10,37928494366872
63631-01W,37928494399640
6361-10,37928496791704
6361-01W,37928496890008
6361-GREY,37928496955544
6367-10,37928493908120
6367-01W,37928493940888
6340-10,37928494104728
6340-01W,37928494137496
181,38185100116120
667-10,37928499151000
667-01W,37928499183768
30218-10,37928498135192
30218-01W,37928498167960
30220-10,37928497414296
30220-01W,37928497447064
30219-10,37928497676440
30219-01W,37928497709208
7032N,37928511733912
7542,37928556691608
195-GREY,38185115123864
799-09,37928589721752
70140,37928511832216
6342,38184243789976
252-10,37928507375768
252-01W,37928507408536
252-GREY,37928507441304
2020B-10,37928476737688
